日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.21-01.28,新星组夏季赛提名-男性组别,温水和彦,败犬女主太多了！,梅田修一朗,436,Nukumizu Kazuhiko,True,,1
01.21-01.28,新星组夏季赛提名-男性组别,浅村悠太,义妹生活,天崎滉平,429,Asamura Yūta,True,,2
01.21-01.28,新星组夏季赛提名-男性组别,斑鸠夏生,ATRI -My Dear Moments-,小野贤章,349,Ikaruga Natsuki,True,,3
01.21-01.28,新星组夏季赛提名-男性组别,北条时行,擅长逃跑的殿下,结川朝希,104,Hōjō Tokiyuki,True,,4
01.21-01.28,新星组夏季赛提名-男性组别,久世政近,不时轻声地以俄语遮羞的邻座艾莉同学,天崎滉平,55,Kuze Masachika,True,,5
01.21-01.28,新星组夏季赛提名-男性组别,花冈真琴,前辈是男孩子,梅田修一朗,33,Hanaoka Makoto,True,,6
01.21-01.28,新星组夏季赛提名-男性组别,小鸠常悟朗,小市民系列,梅田修一朗,26,Kobato Jōgorō,True,,7
01.21-01.28,新星组夏季赛提名-男性组别,北滨瑛二,疑似后宫,冈本信彦,20,Kitahama Eiji,True,,8
01.21-01.28,新星组夏季赛提名-男性组别,大我龙二,前辈是男孩子,内田雄马,20,Taiga Ryūji,True,,9
01.21-01.28,新星组夏季赛提名-男性组别,瑞克·桑切斯,瑞克和莫蒂,多田野曜平,17,Rick Sanchez,True,,10
01.21-01.28,新星组夏季赛提名-男性组别,米拉,魔法少女与邪恶曾经敌对。,小野友树,15,Mira,True,,11
01.21-01.28,新星组夏季赛提名-男性组别,奥村正宗,2.5次元的诱惑,榎木淳弥,14,Okumura Masamune,True,,12
01.21-01.28,新星组夏季赛提名-男性组别,威尔·赛尔佛特,杖与剑的魔剑谭,天崎滉平,12,Will Serfort,True,,13
01.21-01.28,新星组夏季赛提名-男性组别,传奇终结究极炸弹,哎咕岛消失的舔甜歌姬,江口拓也,11,Legendary Final Climax Bomb,True,,14
01.21-01.28,新星组夏季赛提名-男性组别,莫蒂·史密斯,瑞克和莫蒂,千叶启介,8,Morty Smith,True,,15
01.21-01.28,新星组夏季赛提名-男性组别,风早翔太,好想告诉你,三浦春马,6,Kazehaya Shōta,True,,16
01.21-01.28,新星组夏季赛提名-男性组别,凯伊·沙克拉·班特,为何我的世界被遗忘了？,千叶翔也,4,Kai Sakura Vento,True,,17
01.21-01.28,新星组夏季赛提名-男性组别,老师,异世界失格,神谷浩史,4,Sensei,True,,18
01.21-01.28,新星组夏季赛提名-男性组别,小丑,异世界自杀小队,梅原裕一郎,4,Joker,True,,19
01.21-01.28,新星组夏季赛提名-男性组别,姬川大辉,【我推的孩子】,内山昂辉,4,Himekawa Taiki,True,,20
01.21-01.28,新星组夏季赛提名-男性组别,白崎纯,双生恋情密不可分,坂田将吾,3,Shirochiki Jun,True,,21
01.21-01.28,新星组夏季赛提名-男性组别,吉奥尔多·斯提亚特,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,苍井翔太,3,Geordo Stuart,True,,22
01.21-01.28,新星组夏季赛提名-男性组别,小杉拓马,我的妻子没有感情,丰永利行,2,Kosugi Takuma,True,,23
01.21-01.28,新星组夏季赛提名-男性组别,大友寿,黄昏光影,内田雄马,2,Ōtomo Hisashi,True,,24
01.21-01.28,新星组夏季赛提名-男性组别,兰贾德,地下城里的人们,楠见尚己,2,Rangado,True,,25
01.21-01.28,新星组夏季赛提名-男性组别,第二十五夜,神之塔,市川太一,2,Twenty-Fifth Bam,True,,26
01.21-01.28,新星组夏季赛提名-男性组别,昆·阿圭罗·阿尼亚斯,神之塔,冈本信彦,2,Khun Aguero Agnes,True,,27
01.21-01.28,新星组夏季赛提名-男性组别,纳兹·多拉格尼尔,妖精的尾巴,柿原彻也,2,Natsu Dragneel,True,,28
01.21-01.28,新星组夏季赛提名-男性组别,冒失鬼八兵卫,哎咕岛消失的舔甜歌姬,齐藤壮马,3,Careless Hachibei,True,,29
01.21-01.28,新星组夏季赛提名-男性组别,诹访赖重,擅长逃跑的殿下,中村悠一,3,Suwa Yorishige,True,,30
01.21-01.28,新星组夏季赛提名-男性组别,鸣岛梅尔特,【我推的孩子】,前田诚二,3,Narushima Melt,True,,31
01.21-01.28,新星组夏季赛提名-男性组别,不速之客,哎咕岛消失的舔甜歌姬,西山宏太朗,2,Uninvited Guest,False,,32
